CODIGO,nombre,CAtaGORIA,altitud,latitud,longitud,MUNICIPIO,SUBZONA_HI,,
21135020,JABALCON [21135020],Climatica Ordinaria,332,3.85583333,-75.01572222,Saldana,"Rio Aipe, Rio Chenche y otros directos al Magdalena",,
21135030,ANCHIQUE [21135030],Climatica Ordinaria,415,3.57383333,-75.109,Natagaima,"Rio Aipe, Rio Chenche y otros directos al Magdalena",,
21185030,GUAMO [21185030],Climatica Principal,332,4.00883333,-74.98138889,Guamo,Bajo Saldana,,
22015020,RELATOR [22015020],Climatica Ordinaria,1160,3.52913889,-75.63141667,Rioblanco,Alto Saldana,,
22045010,DEMOSTRACION GRANJA - AUT [22045010],Climatica Ordinaria,908,3.72244444,-75.50344444,Chaparral,"Rio Tetuan, R?o Ortega",,
22045020,LIMON EL [22045020],Climatica Ordinaria,130,3.65183333,-75.58419444,Chaparral,Rio Amoya,,
22055020,MESA DE POLE [22055020],Climatica Ordinaria,699,3.45577778,-75.53636111,Ataco,Medio Saldana,,
22065040,SAN ANTONIO QUINTA [22065040],Climatica Principal,1448,3.90691667,-75.48808333,San Antonio,"Rio Tetuan, R?o Ortega",,
22075030,RIOMANSO [22075030],Climatica Ordinaria,253,4.20677778,-75.41558333,Rovira,Rio Cucuana,,
2202500051,PLANADAS - AUT [2202500051],Climatica Principal,1300,3.2058,-75.6542,Planadas,Rio Ata,,
22050030,COLACHE HACIENDA [22050030],Pluviometrica,384,3.79547222,-75.19563889,Coyaima,Bajo Saldana,,
22050040,ATACO [22050040],Pluviometrica,468,3.92805556,-75.37916667,Ataco,"Rio Tetuan, R?o Ortega",,
22050060,SAN JOSE D HERMOSA [22050060],Pluviometrica,215,3.90352778,-75.69316667,Chaparral,Rio Amoya,,
22050090,MOLINO MURRA [22050090],Pluviometrica,324,3.92313889,-75.02119444,Saldana,Bajo Saldana,,
22060070,ORTEGA [22060070],Pluviometrica,388,3.93916667,-75.21994444,Ortega,"Rio Tetuan, R?o Ortega",,
22060080,PANDO EL [22060080],Pluviometrica,976,3.76638889,-75.54855556,Chaparral,Rio Amoya,,
22060090,OLAYA HERRERA [22060090],Pluviometrica,450,3.81541667,-75.33005556,Ortega,"Rio Tetuan, R?o Ortega",,
22060110,GUAINI [22060110],Pluviometrica,746,3.71772222,-75.42355556,Chaparral,Rio Amoya,,
22070010,RONCESVALLES [22070010],Pluviométrica,"2,581",4.00663889,-75.60775,Roncesvalles,Roncesvalles,,
22070030,SANTA HELENA [22070030],Pluviometrica,2606,4.12455556,-75.49952778,Roncesvalles,Rio Cucuana,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
